id_klienta,imie,nazwisko,email,data_rejestracji,miasto,kraj,segment,dni_od_rejestracji
K000043,Anna,Kowalski,user43@example.com,2022-01-23 21:54:35.675675675,Łódź,Polska,Standard,521
K000044,Magdalena,Lewandowski,user44@example.com,2022-01-24 11:00:10.810810810,Wrocław,Polska,Premium,520
K000045,Maria,Kowalski,user45@example.com,2022-01-25 00:05:45.945945945,Kraków,Polska,Standard,519
K000046,Maria,Nowak,user46@example.com,2022-01-25 13:11:21.081081081,Warszawa,Polska,Premium,519
K000047,Magdalena,Kowalski,user47@example.com,2022-01-26 02:16:56.216216216,Szczecin,Polska,Premium,518
K000048,Michał,Wiśniewski,user48@example.com,2022-01-26 15:22:31.351351351,Poznań,Polska,Premium,518
K000049,Katarzyna,Kamiński,user49@example.com,2022-01-27 04:28:06.486486486,Poznań,Polska,Premium,517
K000050,Katarzyna,Kowalski,user50@example.com,2022-01-27 17:33:41.621621621,Gdańsk,Polska,Standard,517
K000051,Michał,Lewandowski,user51@example.com,2022-01-28 06:39:16.756756756,Poznań,Polska,Standard,516
K000052,Katarzyna,Kamiński,user52@example.com,2022-01-28 19:44:51.891891892,Wrocław,Polska,Standard,516
K000053,Piotr,Wójcik,user53@example.com,2022-01-29 08:50:27.027027027,Szczecin,Polska,Standard,515
K000054,Maria,Dąbrowski,user54@example.com,2022-01-29 21:56:02.162162162,Łódź,Polska,Standard,515
K000055,Michał,Kowalski,user55@example.com,2022-01-30 11:01:37.297297297,Wrocław,Polska,Standard,514
K000056,Maria,Lewandowski,user56@example.com,2022-01-31 00:07:12.432432432,Gdańsk,Polska,VIP,513
K000057,Magdalena,Kamiński,user57@example.com,2022-01-31 13:12:47.567567567,Wrocław,Polska,Standard,513
K000058,Jan,Lewandowski,user58@example.com,2022-02-01 02:18:22.702702702,Łódź,Polska,Premium,512
K000059,Piotr,Wójcik,user59@example.com,2022-02-01 15:23:57.837837837,Kraków,Polska,Standard,512
K000060,Tomasz,Wiśniewski,user60@example.com,2022-02-02 04:29:32.972972973,Gdańsk,Polska,Premium,511
K000061,Piotr,Lewandowski,user61@example.com,2022-02-02 17:35:08.108108108,Kraków,Polska,VIP,511
K000062,Michał,Kamiński,user62@example.com,2022-02-03 06:40:43.243243243,Warszawa,Polska,Standard,510
K000063,Tomasz,Lewandowski,user63@example.com,2022-02-03 19:46:18.378378378,Kraków,Polska,Standard,510
K000064,Jan,Lewandowski,user64@example.com,2022-02-04 08:51:53.513513513,Warszawa,Polska,Premium,509
K000065,Michał,Lewandowski,user65@example.com,2022-02-04 21:57:28.648648648,Warszawa,Polska,Standard,509
K000066,Anna,Nowak,user66@example.com,2022-02-05 11:03:03.783783783,Kraków,Polska,Standard,508
K000067,Maria,Nowak,user67@example.com,2022-02-06 00:08:38.918918919,Gdańsk,Polska,Standard,507
K000068,Jan,Wiśniewski,user68@example.com,2022-02-06 13:14:14.054054054,Łódź,Polska,Standard,507
K000069,Maria,Kowalski,user69@example.com,2022-02-07 02:19:49.189189189,Wrocław,Polska,Standard,506
K000070,Katarzyna,Lewandowski,user70@example.com,2022-02-07 15:25:24.324324324,Wrocław,Polska,Standard,506
K000071,Anna,Wójcik,user71@example.com,2022-02-08 04:30:59.459459459,Łódź,Polska,Standard,505
K000072,Anna,Kowalski,user72@example.com,2022-02-08 17:36:34.594594594,Szczecin,Polska,Standard,505
K000073,Jan,Wójcik,user73@example.com,2022-02-09 06:42:09.729729729,Szczecin,Polska,VIP,504
K000074,Anna,Kowalski,user74@example.com,2022-02-09 19:47:44.864864864,Warszawa,Polska,Standard,504
K000075,Tomasz,Wiśniewski,user75@example.com,2022-02-10 08:53:20.000000000,Warszawa,Polska,VIP,503
K000076,Anna,Lewandowski,user76@example.com,2022-02-10 21:58:55.135135135,Gdańsk,Polska,Standard,503
K000077,Maria,Lewandowski,user77@example.com,2022-02-11 11:04:30.270270270,Poznań,Polska,Standard,502
K000078,Maria,Dąbrowski,user78@example.com,2022-02-12 00:10:05.405405405,Kraków,Polska,Standard,501
K000079,Michał,Wójcik,user79@example.com,2022-02-12 13:15:40.540540540,Warszawa,Polska,Standard,501
K000080,Maria,Kowalski,user80@example.com,2022-02-13 02:21:15.675675675,Wrocław,Polska,Standard,500
K000081,Michał,Kowalski,user81@example.com,2022-02-13 15:26:50.810810810,Gdańsk,Polska,Standard,500
K000082,Maria,Nowak,user82@example.com,2022-02-14 04:32:25.945945946,Kraków,Polska,Standard,499
K000083,Tomasz,Dąbrowski,user83@example.com,2022-02-14 17:38:01.081081081,Gdańsk,Polska,Standard,499
K000084,Magdalena,Kamiński,user84@example.com,2022-02-15 06:43:36.216216216,Kraków,Polska,Standard,498
K000085,Michał,Kamiński,user85@example.com,2022-02-15 19:49:11.351351351,Kraków,Polska,Standard,498
K000086,Piotr,Nowak,user86@example.com,2022-02-16 08:54:46.486486486,Łódź,Polska,Standard,497
K000087,Katarzyna,Nowak,user87@example.com,2022-02-16 22:00:21.621621621,Warszawa,Polska,Premium,497
K000088,Jan,Nowak,user88@example.com,2022-02-17 11:05:56.756756756,Gdańsk,Polska,Standard,496
K000089,Maria,Wójcik,user89@example.com,2022-02-18 00:11:31.891891891,Gdańsk,Polska,Standard,495
K000090,Anna,Wójcik,user90@example.com,2022-02-18 13:17:07.027027027,Łódź,Polska,VIP,495
K000091,Magdalena,Wiśniewski,user91@example.com,2022-02-19 02:22:42.162162162,Wrocław,Polska,Standard,494
K000092,Maria,Wiśniewski,user92@example.com,2022-02-19 15:28:17.297297297,Wrocław,Polska,Standard,494
K000093,Anna,Nowak,user93@example.com,2022-02-20 04:33:52.432432432,Szczecin,Polska,VIP,493
K000094,Katarzyna,Dąbrowski,user94@example.com,2022-02-20 17:39:27.567567567,Warszawa,Polska,Standard,493
K000095,Katarzyna,Kowalski,user95@example.com,2022-02-21 06:45:02.702702702,Warszawa,Polska,Standard,492
K000096,Katarzyna,Wójcik,user96@example.com,2022-02-21 19:50:37.837837837,Poznań,Polska,Standard,492
K000097,Anna,Dąbrowski,user97@example.com,2022-02-22 08:56:12.972972973,Łódź,Polska,Standard,491
K000098,Maria,Lewandowski,user98@example.com,2022-02-22 22:01:48.108108108,Wrocław,Polska,Standard,491
K000099,Katarzyna,Wójcik,user99@example.com,2022-02-23 11:07:23.243243243,Kraków,Polska,Standard,490
K000100,Tomasz,Wójcik,user100@example.com,2022-02-24 00:12:58.378378378,Gdańsk,Polska,Standard,489
K000101,Michał,Wiśniewski,user101@example.com,2022-02-24 13:18:33.513513513,Warszawa,Polska,Standard,489
K000102,Anna,Kowalski,user102@example.com,2022-02-25 02:24:08.648648648,Gdańsk,Polska,VIP,488
K000103,Anna,Kowalski,user103@example.com,2022-02-25 15:29:43.783783784,Gdańsk,Polska,Premium,488
K000104,Maria,Kamiński,user104@example.com,2022-02-26 04:35:18.918918919,Poznań,Polska,Standard,487
K000105,Anna,Kamiński,user105@example.com,2022-02-26 17:40:54.054054054,Wrocław,Polska,Standard,487
K000106,Anna,Kamiński,user106@example.com,2022-02-27 06:46:29.189189189,Warszawa,Polska,Standard,486
K000107,Katarzyna,Kamiński,user107@example.com,2022-02-27 19:52:04.324324324,Gdańsk,Polska,Standard,486
K000108,Maria,Lewandowski,user108@example.com,2022-02-28 08:57:39.459459459,Warszawa,Polska,Standard,485
K000109,Katarzyna,Lewandowski,user109@example.com,2022-02-28 22:03:14.594594594,Kraków,Polska,Standard,485
K000110,Michał,Wójcik,user110@example.com,2022-03-01 11:08:49.729729729,Poznań,Polska,Premium,484
K000111,Magdalena,Nowak,user111@example.com,2022-03-02 00:14:24.864864865,Kraków,Polska,Standard,483
K000112,Michał,Wiśniewski,user112@example.com,2022-03-02 13:20:00.000000000,Warszawa,Polska,Standard,483
K000113,Magdalena,Wiśniewski,user113@example.com,2022-03-03 02:25:35.135135135,Szczecin,Polska,Standard,482
K000114,Katarzyna,Kamiński,user114@example.com,2022-03-03 15:31:10.270270270,Warszawa,Polska,Standard,482
K000115,Michał,Wójcik,user115@example.com,2022-03-04 04:36:45.405405405,Wrocław,Polska,Premium,481
K000116,Maria,Dąbrowski,user116@example.com,2022-03-04 17:42:20.540540540,Gdańsk,Polska,Premium,481
K000117,Jan,Nowak,user117@example.com,2022-03-05 06:47:55.675675675,Gdańsk,Polska,Premium,480
K000118,Katarzyna,Wójcik,user118@example.com,2022-03-05 19:53:30.810810811,Kraków,Polska,Standard,480
K000119,Magdalena,Nowak,user119@example.com,2022-03-06 08:59:05.945945946,Poznań,Polska,Standard,479
K000120,Tomasz,Nowak,user120@example.com,2022-03-06 22:04:41.081081081,Szczecin,Polska,Standard,479
K000121,Magdalena,Nowak,user121@example.com,2022-03-07 11:10:16.216216216,Łódź,Polska,Standard,478
K000122,Tomasz,Wójcik,user122@example.com,2022-03-08 00:15:51.351351351,Gdańsk,Polska,Standard,477
K000123,Anna,Kamiński,user123@example.com,2022-03-08 13:21:26.486486486,Wrocław,Polska,Premium,477
K000124,Michał,Wiśniewski,user124@example.com,2022-03-09 02:27:01.621621621,Kraków,Polska,Standard,476
K000125,Tomasz,Wiśniewski,user125@example.com,2022-03-09 15:32:36.756756756,Kraków,Polska,Standard,476
K000126,Magdalena,Kamiński,user126@example.com,2022-03-10 04:38:11.891891892,Łódź,Polska,Standard,475
K000127,Anna,Nowak,user127@example.com,2022-03-10 17:43:47.027027027,Wrocław,Polska,Standard,475
K000128,Jan,Dąbrowski,user128@example.com,2022-03-11 06:49:22.162162162,Poznań,Polska,Standard,474
K000129,Maria,Kowalski,user129@example.com,2022-03-11 19:54:57.297297297,Wrocław,Polska,VIP,474
K000130,Maria,Wójcik,user130@example.com,2022-03-12 09:00:32.432432432,Poznań,Polska,Premium,473
K000131,Maria,Kowalski,user131@example.com,2022-03-12 22:06:07.567567567,Wrocław,Polska,VIP,473
K000132,Tomasz,Kamiński,user132@example.com,2022-03-13 11:11:42.702702702,Wrocław,Polska,Standard,472
K000133,Jan,Dąbrowski,user133@example.com,2022-03-14 00:17:17.837837838,Warszawa,Polska,Standard,471
K000134,Tomasz,Wójcik,user134@example.com,2022-03-14 13:22:52.972972973,Kraków,Polska,Standard,471
K000135,Michał,Kamiński,user135@example.com,2022-03-15 02:28:28.108108108,Wrocław,Polska,Standard,470
K000136,Tomasz,Nowak,user136@example.com,2022-03-15 15:34:03.243243243,Łódź,Polska,Premium,470
K000137,Jan,Wiśniewski,user137@example.com,2022-03-16 04:39:38.378378378,Wrocław,Polska,Standard,469
K000138,Jan,Kowalski,user138@example.com,2022-03-16 17:45:13.513513513,Gdańsk,Polska,Standard,469
K000139,Michał,Lewandowski,user139@example.com,2022-03-17 06:50:48.648648648,Kraków,Polska,Standard,468
K000140,Jan,Lewandowski,user140@example.com,2022-03-17 19:56:23.783783783,Gdańsk,Polska,Standard,468
K000141,Magdalena,Dąbrowski,user141@example.com,2022-03-18 09:01:58.918918919,Kraków,Polska,Premium,467
K000142,Jan,Nowak,user142@example.com,2022-03-18 22:07:34.054054054,Gdańsk,Polska,Standard,467
K000143,Maria,Kowalski,user143@example.com,2022-03-19 11:13:09.189189189,Wrocław,Polska,Standard,466
K000144,Magdalena,Nowak,user144@example.com,2022-03-20 00:18:44.324324324,Wrocław,Polska,Standard,465
K000145,Magdalena,Kowalski,user145@example.com,2022-03-20 13:24:19.459459459,Warszawa,Polska,Standard,465
K000146,Michał,Dąbrowski,user146@example.com,2022-03-21 02:29:54.594594594,Łódź,Polska,Premium,464
K000147,Piotr,Dąbrowski,user147@example.com,2022-03-21 15:35:29.729729729,Gdańsk,Polska,Premium,464
K000148,Piotr,Lewandowski,user148@example.com,2022-03-22 04:41:04.864864865,Poznań,Polska,VIP,463
K000149,Jan,Nowak,user149@example.com,2022-03-22 17:46:40.000000000,Warszawa,Polska,Premium,463
K000150,Magdalena,Wójcik,user150@example.com,2022-03-23 06:52:15.135135135,Gdańsk,Polska,Standard,462
K000151,Piotr,Lewandowski,user151@example.com,2022-03-23 19:57:50.270270270,Gdańsk,Polska,Standard,462
K000152,Piotr,Nowak,user152@example.com,2022-03-24 09:03:25.405405405,Warszawa,Polska,Standard,461
K000153,Jan,Lewandowski,user153@example.com,2022-03-24 22:09:00.540540540,Wrocław,Polska,Standard,461
K000154,Piotr,Wójcik,user154@example.com,2022-03-25 11:14:35.675675675,Gdańsk,Polska,Premium,460
K000155,Tomasz,Wiśniewski,user155@example.com,2022-03-26 00:20:10.810810810,Wrocław,Polska,Standard,459
K000156,Anna,Wiśniewski,user156@example.com,2022-03-26 13:25:45.945945946,Warszawa,Polska,VIP,459
K000157,Michał,Wiśniewski,user157@example.com,2022-03-27 02:31:21.081081081,Wrocław,Polska,Standard,458
K000158,Anna,Wiśniewski,user158@example.com,2022-03-27 15:36:56.216216216,Kraków,Polska,Standard,458
K000159,Jan,Kamiński,user159@example.com,2022-03-28 04:42:31.351351351,Poznań,Polska,Standard,457
K000160,Maria,Kowalski,user160@example.com,2022-03-28 17:48:06.486486486,Szczecin,Polska,Premium,457
K000161,Michał,Kamiński,user161@example.com,2022-03-29 06:53:41.621621621,Gdańsk,Polska,Standard,456
K000162,Jan,Kamiński,user162@example.com,2022-03-29 19:59:16.756756756,Łódź,Polska,Standard,456
K000163,Magdalena,Kamiński,user163@example.com,2022-03-30 09:04:51.891891892,Poznań,Polska,Standard,455
K000164,Maria,Wiśniewski,user164@example.com,2022-03-30 22:10:27.027027027,Szczecin,Polska,Standard,455
K000165,Anna,Wójcik,user165@example.com,2022-03-31 11:16:02.162162162,Wrocław,Polska,Standard,454
K000166,Jan,Dąbrowski,user166@example.com,2022-04-01 00:21:37.297297297,Gdańsk,Polska,Premium,453
K000167,Magdalena,Dąbrowski,user167@example.com,2022-04-01 13:27:12.432432432,Wrocław,Polska,Standard,453
K000168,Michał,Kowalski,user168@example.com,2022-04-02 02:32:47.567567567,Kraków,Polska,Standard,452
K000169,Michał,Wiśniewski,user169@example.com,2022-04-02 15:38:22.702702702,Warszawa,Polska,Standard,452
K000170,Katarzyna,Wiśniewski,user170@example.com,2022-04-03 04:43:57.837837837,Gdańsk,Polska,Standard,451
K000171,Magdalena,Wiśniewski,user171@example.com,2022-04-03 17:49:32.972972973,Szczecin,Polska,Premium,451
K000172,Tomasz,Lewandowski,user172@example.com,2022-04-04 06:55:08.108108108,Szczecin,Polska,Standard,450
K000173,Piotr,Nowak,user173@example.com,2022-04-04 20:00:43.243243243,Kraków,Polska,Standard,450
K000174,Maria,Lewandowski,user174@example.com,2022-04-05 09:06:18.378378378,Kraków,Polska,Standard,449
K000175,Magdalena,Nowak,user175@example.com,2022-04-05 22:11:53.513513513,Gdańsk,Polska,VIP,449
K000176,Katarzyna,Wiśniewski,user176@example.com,2022-04-06 11:17:28.648648648,Wrocław,Polska,Premium,448
K000177,Piotr,Wiśniewski,user177@example.com,2022-04-07 00:23:03.783783783,Łódź,Polska,Standard,447
K000178,Piotr,Lewandowski,user178@example.com,2022-04-07 13:28:38.918918919,Szczecin,Polska,Standard,447
K000179,Jan,Lewandowski,user179@example.com,2022-04-08 02:34:14.054054054,Szczecin,Polska,Standard,446
K000180,Piotr,Nowak,user180@example.com,2022-04-08 15:39:49.189189189,Kraków,Polska,Premium,446
K000181,Tomasz,Dąbrowski,user181@example.com,2022-04-09 04:45:24.324324324,Poznań,Polska,Standard,445
K000182,Michał,Nowak,user182@example.com,2022-04-09 17:50:59.459459459,Kraków,Polska,Standard,445
K000183,Katarzyna,Lewandowski,user183@example.com,2022-04-10 06:56:34.594594594,Łódź,Polska,Standard,444
K000184,Piotr,Wójcik,user184@example.com,2022-04-10 20:02:09.729729729,Wrocław,Polska,Standard,444
K000185,Jan,Lewandowski,user185@example.com,2022-04-11 09:07:44.864864864,Wrocław,Polska,Standard,443
K000186,Tomasz,Wójcik,user186@example.com,2022-04-11 22:13:20.000000000,Poznań,Polska,Premium,443
K000187,Anna,Kowalski,user187@example.com,2022-04-12 11:18:55.135135135,Szczecin,Polska,Standard,442
K000188,Michał,Lewandowski,user188@example.com,2022-04-13 00:24:30.270270270,Kraków,Polska,Standard,441
K000189,Michał,Kowalski,user189@example.com,2022-04-13 13:30:05.405405405,Wrocław,Polska,Standard,441
K000190,Katarzyna,Dąbrowski,user190@example.com,2022-04-14 02:35:40.540540540,Łódź,Polska,VIP,440
K000191,Michał,Nowak,user191@example.com,2022-04-14 15:41:15.675675675,Gdańsk,Polska,Standard,440
K000192,Piotr,Wójcik,user192@example.com,2022-04-15 04:46:50.810810810,Warszawa,Polska,Premium,439
K000193,Jan,Nowak,user193@example.com,2022-04-15 17:52:25.945945946,Warszawa,Polska,Standard,439
K000194,Michał,Kowalski,user194@example.com,2022-04-16 06:58:01.081081080,Warszawa,Polska,Standard,438
K000195,Michał,Wójcik,user195@example.com,2022-04-16 20:03:36.216216216,Szczecin,Polska,Standard,438
K000196,Anna,Nowak,user196@example.com,2022-04-17 09:09:11.351351350,Kraków,Polska,Standard,437
K000197,Anna,Lewandowski,user197@example.com,2022-04-17 22:14:46.486486486,Poznań,Polska,Standard,437
K000198,Maria,Wiśniewski,user198@example.com,2022-04-18 11:20:21.621621622,Wrocław,Polska,Premium,436
K000199,Tomasz,Kowalski,user199@example.com,2022-04-19 00:25:56.756756756,Gdańsk,Polska,Standard,435
K000200,Piotr,Nowak,user200@example.com,2022-04-19 13:31:31.891891892,Łódź,Polska,Standard,435
K000201,Michał,Kowalski,user201@example.com,2022-04-20 02:37:07.027027026,Gdańsk,Polska,Standard,434
K000202,Magdalena,Kamiński,user202@example.com,2022-04-20 15:42:42.162162162,Łódź,Polska,VIP,434
K000203,Michał,Kowalski,user203@example.com,2022-04-21 04:48:17.297297296,Szczecin,Polska,Premium,433
K000204,Jan,Wójcik,user204@example.com,2022-04-21 17:53:52.432432432,Kraków,Polska,Standard,433
K000205,Maria,Kamiński,user205@example.com,2022-04-22 06:59:27.567567568,Warszawa,Polska,VIP,432
K000206,Tomasz,Wójcik,user206@example.com,2022-04-22 20:05:02.702702702,Kraków,Polska,Standard,432
K000207,Magdalena,Wiśniewski,user207@example.com,2022-04-23 09:10:37.837837838,Szczecin,Polska,Standard,431
K000208,Maria,Kamiński,user208@example.com,2022-04-23 22:16:12.972972972,Poznań,Polska,Premium,431
K000209,Katarzyna,Lewandowski,user209@example.com,2022-04-24 11:21:48.108108108,Poznań,Polska,Premium,430
K000210,Tomasz,Kowalski,user210@example.com,2022-04-25 00:27:23.243243242,Szczecin,Polska,Standard,429
K000211,Michał,Nowak,user211@example.com,2022-04-25 13:32:58.378378378,Łódź,Polska,Standard,429
K000212,Michał,Dąbrowski,user212@example.com,2022-04-26 02:38:33.513513514,Wrocław,Polska,Standard,428
K000213,Tomasz,Kowalski,user213@example.com,2022-04-26 15:44:08.648648648,Wrocław,Polska,VIP,428
K000214,Michał,Kowalski,user214@example.com,2022-04-27 04:49:43.783783784,Łódź,Polska,Standard,427
K000215,Piotr,Wiśniewski,user215@example.com,2022-04-27 17:55:18.918918918,Poznań,Polska,Standard,427
K000216,Tomasz,Lewandowski,user216@example.com,2022-04-28 07:00:54.054054054,Poznań,Polska,Standard,426
K000217,Maria,Dąbrowski,user217@example.com,2022-04-28 20:06:29.189189188,Poznań,Polska,Standard,426
K000218,Tomasz,Kamiński,user218@example.com,2022-04-29 09:12:04.324324324,Kraków,Polska,Standard,425
K000219,Magdalena,Kamiński,user219@example.com,2022-04-29 22:17:39.459459458,Poznań,Polska,VIP,425
K000220,Michał,Kamiński,user220@example.com,2022-04-30 11:23:14.594594594,Gdańsk,Polska,Standard,424
K000221,Piotr,Wójcik,user221@example.com,2022-05-01 00:28:49.729729730,Warszawa,Polska,Standard,423
K000222,Piotr,Wójcik,user222@example.com,2022-05-01 13:34:24.864864864,Poznań,Polska,Standard,423
K000223,Katarzyna,Nowak,user223@example.com,2022-05-02 02:40:00.000000000,Łódź,Polska,Premium,422
K000224,Maria,Dąbrowski,user224@example.com,2022-05-02 15:45:35.135135134,Warszawa,Polska,Standard,422
K000225,Anna,Kamiński,user225@example.com,2022-05-03 04:51:10.270270270,Kraków,Polska,Standard,421
K000226,Anna,Wójcik,user226@example.com,2022-05-03 17:56:45.405405404,Łódź,Polska,Premium,421
K000227,Tomasz,Nowak,user227@example.com,2022-05-04 07:02:20.540540540,Warszawa,Polska,Premium,420
K000228,Katarzyna,Lewandowski,user228@example.com,2022-05-04 20:07:55.675675676,Łódź,Polska,Premium,420
K000229,Jan,Nowak,user229@example.com,2022-05-05 09:13:30.810810810,Kraków,Polska,VIP,419
K000230,Tomasz,Wójcik,user230@example.com,2022-05-05 22:19:05.945945946,Gdańsk,Polska,Standard,419
K000231,Katarzyna,Wiśniewski,user231@example.com,2022-05-06 11:24:41.081081080,Kraków,Polska,Premium,418
K000232,Maria,Wiśniewski,user232@example.com,2022-05-07 00:30:16.216216216,Kraków,Polska,Standard,417
K000233,Maria,Kamiński,user233@example.com,2022-05-07 13:35:51.351351350,Łódź,Polska,Premium,417
K000234,Maria,Wiśniewski,user234@example.com,2022-05-08 02:41:26.486486486,Szczecin,Polska,Premium,416
K000235,Maria,Kamiński,user235@example.com,2022-05-08 15:47:01.621621622,Wrocław,Polska,Premium,416
K000236,Maria,Kamiński,user236@example.com,2022-05-09 04:52:36.756756756,Poznań,Polska,Standard,415
K000237,Katarzyna,Wójcik,user237@example.com,2022-05-09 17:58:11.891891892,Poznań,Polska,Standard,415
K000238,Katarzyna,Wiśniewski,user238@example.com,2022-05-10 07:03:47.027027026,Gdańsk,Polska,Standard,414
K000239,Piotr,Kamiński,user239@example.com,2022-05-10 20:09:22.162162162,Gdańsk,Polska,VIP,414
K000240,Magdalena,Dąbrowski,user240@example.com,2022-05-11 09:14:57.297297296,Poznań,Polska,VIP,413
K000241,Anna,Lewandowski,user241@example.com,2022-05-11 22:20:32.432432432,Wrocław,Polska,Standard,413
K000242,Michał,Nowak,user242@example.com,2022-05-12 11:26:07.567567568,Poznań,Polska,Standard,412
K000243,Maria,Nowak,user243@example.com,2022-05-13 00:31:42.702702702,Szczecin,Polska,Standard,411
K000244,Jan,Wójcik,user244@example.com,2022-05-13 13:37:17.837837838,Wrocław,Polska,Premium,411
K000245,Michał,Wiśniewski,user245@example.com,2022-05-14 02:42:52.972972972,Gdańsk,Polska,Premium,410
K000246,Katarzyna,Wiśniewski,user246@example.com,2022-05-14 15:48:28.108108108,Warszawa,Polska,Standard,410
K000247,Jan,Kamiński,user247@example.com,2022-05-15 04:54:03.243243242,Łódź,Polska,Standard,409
K000248,Jan,Kowalski,user248@example.com,2022-05-15 17:59:38.378378378,Szczecin,Polska,Premium,409
K000249,Jan,Kamiński,user249@example.com,2022-05-16 07:05:13.513513512,Szczecin,Polska,Premium,408
K000250,Piotr,Lewandowski,user250@example.com,2022-05-16 20:10:48.648648648,Gdańsk,Polska,Standard,408
K000251,Katarzyna,Dąbrowski,user251@example.com,2022-05-17 09:16:23.783783784,Gdańsk,Polska,Standard,407
K000252,Jan,Nowak,user252@example.com,2022-05-17 22:21:58.918918918,Kraków,Polska,Standard,407
